                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.79803,                0.97465,                 1.2106,                0.97831,                      1,                  0.995,                  0.796,                 1.0374,                 1.5895,                 1.0585,               0.000901,               0.000901,               0.000901
                     52,                0.69607,                0.81319,                 1.0482,                0.97831,                      1,                  0.995,                  0.796,                 1.0374,                 1.5895,                 1.0585,               0.000917,               0.000917,               0.000917
                     53,                0.70674,                0.87503,                 1.0448,                0.97831,                      1,                  0.995,                  0.796,                 1.0374,                 1.5895,                 1.0585,             0.00093292,             0.00093292,             0.00093292
                     54,                0.91832,                 1.0227,                 1.1279,                0.96666,                      1,                  0.995,                0.84559,                0.87691,                 1.4361,                 1.0668,             0.00094876,             0.00094876,             0.00094876
                     55,                0.76613,                0.89575,                  1.013,                0.96666,                      1,                  0.995,                0.84559,                0.87691,                 1.4361,                 1.0668,             0.00096453,             0.00096453,             0.00096453
                     56,                0.72872,                0.84799,                  1.136,                0.96666,                      1,                  0.995,                0.84559,                0.87691,                 1.4361,                 1.0668,             0.00098021,             0.00098021,             0.00098021
                     57,                0.74768,                0.91821,                 1.1278,                0.97906,                      1,                  0.995,                0.74576,                 0.9988,                 1.2897,                 1.2474,             0.00099581,             0.00099581,             0.00099581
                     58,                 0.7563,                0.91484,                 1.1437,                0.97906,                      1,                  0.995,                0.74576,                 0.9988,                 1.2897,                 1.2474,              0.0010113,              0.0010113,              0.0010113
                     59,                0.93788,                 1.0686,                 1.2381,                0.97906,                      1,                  0.995,                0.74576,                 0.9988,                 1.2897,                 1.2474,              0.0010268,              0.0010268,              0.0010268
                     60,                0.72828,                0.82264,                 1.0583,                 0.9454,                      1,                  0.995,                0.82083,                0.78934,                  1.234,                 1.0616,              0.0010422,              0.0010422,              0.0010422
                     61,                0.72091,                0.81228,                0.99876,                 0.9454,                      1,                  0.995,                0.82083,                0.78934,                  1.234,                 1.0616,              0.0010574,              0.0010574,              0.0010574
                     62,                0.73862,                0.86461,                 1.1129,                 0.9454,                      1,                  0.995,                0.82083,                0.78934,                  1.234,                 1.0616,              0.0010726,              0.0010726,              0.0010726
                     63,                0.72975,                0.83192,                 1.0715,                0.97173,                      1,                  0.995,                0.74617,                0.84198,                 1.2385,                 1.0074,              0.0010878,              0.0010878,              0.0010878
                     64,                0.70478,                 0.9161,                 1.0648,                0.97173,                      1,                  0.995,                0.74617,                0.84198,                 1.2385,                 1.0074,              0.0011028,              0.0011028,              0.0011028
                     65,                0.64231,                0.74514,                 0.9804,                0.97173,                      1,                  0.995,                0.74617,                0.84198,                 1.2385,                 1.0074,              0.0011178,              0.0011178,              0.0011178
                     66,                 0.8713,                 1.1513,                 1.2233,                0.97219,                      1,                  0.995,                  0.577,                 1.1028,                 1.5409,                 1.1551,              0.0011327,              0.0011327,              0.0011327
                     67,                 0.7039,                0.84682,                 1.0858,                0.97219,                      1,                  0.995,                  0.577,                 1.1028,                 1.5409,                 1.1551,              0.0011475,              0.0011475,              0.0011475
                     68,                0.78373,                0.88538,                 1.0965,                0.97219,                      1,                  0.995,                  0.577,                 1.1028,                 1.5409,                 1.1551,              0.0011622,              0.0011622,              0.0011622
                     69,                 0.7379,                0.83858,                 1.0663,                0.95555,                      1,                  0.995,                0.64667,                 1.2921,                 1.5067,                 1.2454,              0.0011769,              0.0011769,              0.0011769
                     70,                0.57358,                0.76025,                0.96312,                0.95555,                      1,                  0.995,                0.64667,                 1.2921,                 1.5067,                 1.2454,              0.0011915,              0.0011915,              0.0011915
                     71,                0.55445,                0.78051,                0.99522,                0.95555,                      1,                  0.995,                0.64667,                 1.2921,                 1.5067,                 1.2454,               0.001206,               0.001206,               0.001206
                     72,                0.61862,                0.80763,                0.98951,                0.98688,                      1,                  0.995,                0.74609,                 1.1708,                 1.4444,                   1.12,              0.0012204,              0.0012204,              0.0012204
                     73,                0.63095,                0.75791,                 1.0456,                0.98688,                      1,                  0.995,                0.74609,                 1.1708,                 1.4444,                   1.12,              0.0012347,              0.0012347,              0.0012347
                     74,                0.77871,                0.92275,                 1.1784,                0.98688,                      1,                  0.995,                0.74609,                 1.1708,                 1.4444,                   1.12,               0.001249,               0.001249,               0.001249
                     75,                0.80001,                  0.894,                 1.0644,                      1,                0.97735,                  0.995,                0.84559,                 1.0181,                 1.3526,                 1.0081,              0.0012632,              0.0012632,              0.0012632
                     76,                0.77922,                0.89157,                  1.168,                      1,                0.97735,                  0.995,                0.84559,                 1.0181,                 1.3526,                 1.0081,              0.0012773,              0.0012773,              0.0012773
                     77,                0.65981,                0.90995,                 1.1197,                      1,                0.97735,                  0.995,                0.84559,                 1.0181,                 1.3526,                 1.0081,              0.0012913,              0.0012913,              0.0012913
                     78,                0.51104,                0.74674,                0.98655,                0.99901,                      1,                  0.995,                0.74617,                0.99756,                 1.3592,                 1.1266,              0.0013052,              0.0013052,              0.0013052
                     79,                0.57617,                0.67348,                0.99033,                0.99901,                      1,                  0.995,                0.74617,                0.99756,                 1.3592,                 1.1266,              0.0013191,              0.0013191,              0.0013191
                     80,                0.63559,                0.78017,                0.98015,                0.99901,                      1,                  0.995,                0.74617,                0.99756,                 1.3592,                 1.1266,              0.0013329,              0.0013329,              0.0013329
                     81,                0.68627,                0.79749,                 1.0258,                0.96662,                      1,                  0.995,                  0.796,                0.98199,                0.99356,                 1.0857,              0.0013466,              0.0013466,              0.0013466
                     82,                0.59948,                0.73207,                0.97006,                0.96662,                      1,                  0.995,                  0.796,                0.98199,                0.99356,                 1.0857,              0.0013602,              0.0013602,              0.0013602
                     83,                0.67459,                0.76281,                 1.0619,                0.96662,                      1,                  0.995,                  0.796,                0.98199,                0.99356,                 1.0857,              0.0013737,              0.0013737,              0.0013737
                     84,                0.64974,                0.79738,                  1.034,                0.97621,                      1,                  0.995,                 0.6965,                 1.1571,                0.94651,                 1.1534,              0.0013872,              0.0013872,              0.0013872
                     85,                0.60931,                0.72725,                0.97679,                0.97621,                      1,                  0.995,                 0.6965,                 1.1571,                0.94651,                 1.1534,              0.0014006,              0.0014006,              0.0014006
